Date,Name,Year,Letterboxd URI
2023-07-27,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2023-07-29,Interstellar,2014,https://boxd.it/4VZ8
2024-04-10,Barbie,2023,https://boxd.it/bCLK
2024-04-10,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-04-10,La La Land,2016,https://boxd.it/a5fa
2024-04-10,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2024-04-10,10 Things I Hate About You,1999,https://boxd.it/23AO
2024-04-10,Jojo Rabbit,2019,https://boxd.it/iEBG
2024-04-10,Back to the Future,1985,https://boxd.it/2b8e
2024-04-10,Pride & Prejudice,2005,https://boxd.it/24u8
2024-04-10,The Lion King,1994,https://boxd.it/201Q
2024-04-10,Tangled,2010,https://boxd.it/15gO
2024-04-10,The Princess Bride,1987,https://boxd.it/26EY
2024-04-10,How to Lose a Guy in 10 Days,2003,https://boxd.it/1XwG
2024-04-10,Atonement,2007,https://boxd.it/24ui
2024-04-10,Chernobyl,2019,https://boxd.it/mkbG
2024-05-19,Dune,2021,https://boxd.it/fA7G
